AODV,,,DSR,
,,,,
2.134364,1408.708014,,1.149053,0.27849
2.235387,372.191653,,1.253461,121.063658
2.368585,189.793621,,1.373281,316.476331
2.54421,140.299127,,1.540008,149.705164
2.671804,106.587466,,1.647275,235.674452
2.820991,86.871196,,1.76748,310.137768
2.926698,349.644849,,1.921556,321.918203
3.069777,172.2119,,2.038532,13.678046
3.180952,332.451079,,2.151308,117.755516
3.317767,106.420831,,2.257949,234.055554
3.437497,211.142131,,2.360896,365.237155
3.551007,325.610469,,2.475759,112.829874
3.660677,115.25441,,2.59331,322.582942
3.789904,203.053414,,2.723261,289.340318
3.915894,293.357654,,2.825781,249.706814
4.038731,200.590879,,2.957955,282.054034
4.139496,12.702797,,3.062104,370.237068
4.260162,107.403742,,3.189535,195.87039
4.3855,201.694977,,3.304091,223.472093
4.500643,320.993365,,3.415679,226.548537
4.660435,158.204882,,3.517139,252.31554
4.770593,335.518199,,3.627365,338.214224
4.8899,211.890177,,3.742002,8.37426
5.011253,117.343708,,3.849657,457.758874
5.183739,146.563215,,3.974896,5.110214
5.30188,106.990501,,4.10089,396.211123
5.407033,360.615527,,4.204861,130.804767
5.523584,113.941821,,4.312328,117.617379
5.663032,269.635012,,4.479997,222.343813
5.792338,195.505494,,4.591469,345.916811
5.913387,208.841369,,4.747981,240.236348
6.073411,78.988092,,4.853012,472.240432
6.177259,362.068129,,4.954871,248.186932
6.312836,184.100824,,5.090385,188.909922
6.415416,9.358603,,5.230371,187.447796
6.624826,61.888129,,5.337539,232.906249
6.78206,78.354749,,5.467158,192.563123
6.886167,239.75235,,5.573283,363.345057
7.024355,269.776934,,5.723923,169.941697
7.152021,482.508503,,5.861883,270.223639
7.361329,119.250417,,5.9738,448.906244
7.493341,107.869006,,6.083203,233.995394
7.605039,116.02726,,6.21978,189.783037
7.710766,466.106809,,6.34365,300.962463
7.839272,194.23132,,6.446563,251.863327
7.944947,466.337806,,6.558392,226.059139
8.051719,124.376579,,6.686504,387.161186
8.158808,251.007258,,6.798022,226.689663
8.403603,3.921636,,6.925019,201.578746
8.509504,235.693419,,7.029632,123.885266
8.676243,223.583273,,7.155601,393.7503
8.798723,7.837963,,7.275527,116.071378
8.904612,235.719651,,7.405345,197.198521
9.03213,195.736153,,7.505994,489.624005
9.143466,553.281592,,7.621904,218.099142
9.245859,132.821162,,7.766209,177.403139
9.355682,118.008768,,7.88214,433.360009
9.504835,84.745301,,8.044181,81.954554
9.616983,8.56007,,8.151988,463.04949
9.734442,107.611777,,8.253423,367.525679
9.862679,194.64059,,8.383473,7.381799
9.974317,336.80263,,8.499535,329.478342
10.082798,570.792246,,8.606862,229.577609
10.208621,296.288643,,8.716179,121.482524
10.309321,254.220424,,8.86067,428.537888
10.47093,152.466763,,8.962037,134.165572
10.576348,251.949755,,9.070539,340.63822
10.719569,88.255109,,9.172425,12.563146
10.867352,252.262175,,9.277924,467.112928
11.04078,76.573575,,9.395952,321.280211
11.180161,185.965362,,9.517583,311.761255
11.289499,456.565089,,9.623343,12.102919
11.416909,101.718333,,9.738654,432.916336
11.529058,222.561885,,9.848528,232.993251
11.744359,118.903391,,9.948536,129.590005
11.856292,234.425283,,10.073493,596.682151
12.02173,150.872021,,10.177724,124.339884
12.161149,267.395336,,10.293253,11.079475
12.272805,331.016656,,10.41357,511.979655
12.420868,8.644964,,10.642001,161.799585
12.537237,325.86245,,10.762924,305.647634
12.646742,225.012341,,10.895084,193.705849
12.802485,164.372856,,11.057834,157.296506
12.918591,318.331198,,11.168669,230.973622
13.032514,116.56945,,11.331055,155.677717
13.14032,120.215794,,11.44139,117.460951
13.280006,95.070717,,11.601012,231.546394
13.384373,242.221256,,11.721004,413.361507
13.509909,105.786693,,11.824306,247.818392
13.705489,251.968836,,11.961723,96.639652
13.83636,193.166872,,12.090072,386.446818
13.938066,124.279463,,12.270495,143.662656
14.067412,383.466914,,12.391974,309.518079
14.170934,12.364506,,12.496375,130.266892
14.310633,178.670777,,12.637934,96.073132
14.420505,117.95483,,12.74537,344.019075
14.539098,420.934961,,12.846252,369.539842
14.644235,129.355208,,12.977511,96.298324
14.753346,228.758455,,13.114182,277.454136
14.950825,64.00674,,13.263332,2.145488
15.056699,584.849005,,13.375411,14.275742
15.170142,331.444228,,13.643779,45.90701
15.273697,390.901622,,13.88243,52.964442
,,,14.075242,65.556081
,,,14.181749,234.350024
,,,14.299155,320.257135
,,,14.429482,196.428598
,,,14.560469,195.43925
,,,14.688349,291.524121
,,,14.795854,120.552648
,,,14.913884,318.561949
,,,15.059967,177.433988
,,,15.172255,225.133848
,,,15.273908,248.688938
,,,15.40937,186.621685
,,,15.519141,339.615271
,,,15.621445,370.66053
,,,15.738113,425.136741
